Kód obce;poradie na hlasovacom lístku;meno;priezvisko;titul;vek;povolanie;strany;počet hlasov
500364;2;Andrej;Pagáč;Mgr.;47;podnikateľ, aktivista;106,135;41
500364;3;Michal;Rosol;Mgr.;34;projektový manažér;140;20
500364;4;Roman;Vojtela;Ing.;38;obchodný zástupca;001;335
500372;1;Július;Molnár;;54;starosta obce;001;497
500372;2;Henrich;Richter;Mgr.;46;policajt;001;442
500381;1;Ladislav;Hroššo;;59;starosta obce;141;273
500381;2;Jaroslav;Jakubička;Ing.;45;príslušník policajného zboru;001;199
500399;1;Júlia;Rybanská;;49;predavačka;141;28
500399;2;Margita;Tabačeková;;68;starostka obce;136,106,132;100
500402;1;Ján;Balázs;;56;starosta obce;106,135,136;513
500411;1;Róbert;Balkó;Ing.;50;starosta obce;001;460
500429;1;Michal;Pintér;Ing.;31;zastupujúci starosta;136,106;160
500437;1;Martina;Kluková;;47;pracovníčka v gastro sektore;135;9
500437;2;Alžbeta;Lacziková;Mgr.;42;starostka obce;136,106;381
500437;3;Jozef;Molnár;Ing., PhD.;57;štátny zamestnanec;103;50
500453;1;Juraj;Belák;;49;šofér;116;22
500453;2;Radoslav;Kriváček;;46;starosta obce;001;728
500453;3;Jana;Latečková;Ing.;59;podpredsedníčka bytového družstva;136,106;202
500453;4;Jozef;Mesároš;Ing.;35;poradca klienta v banke;001;19
500453;5;Ľuboš;Rusnák;;51;konateľ s.r.o.;125;82
500461;1;František;Richter;Mgr.;46;starosta obce;136,132;329
500470;1;Ján;Huňady;;53;vodič;001;23
500470;2;Ivan;Michna;RNDr.;57;starosta obce;001;225
500470;3;Patrik;Trubíni;;50;nezamestnaný;001;289
500488;1;Igor;Cok;Ing.;59;starosta;001;197
500488;2;Jozefína;Pokrývková;Ing., PhD.;40;vedecko-výskumná zamestnankyňa;001;240
500488;3;Soňa;Szalaiová;Ing.;58;učiteľka strednej školy;001;107
500500;1;Bohumil;Bielik;;63;starosta obce;001;387
500518;1;Csaba;Farkas;Mgr.;62;starosta obce;136;90
500518;2;Daniel;Farkaš;;57;vodič;001;81
500534;1;Veronika;Kubíková;;37;starostka obce;106,136,132;99
500542;1;Milan;Vrábel;Mgr.;43;starosta;106;196
500551;1;Slavomír;Fabian;;53;starosta obce;001;282
500551;2;Jozef;Hloška;;47;odborný referent;132,136;35
500569;1;Igor;Fehérváry;;47;technik  prevádzky;001;97
500569;2;Ján;Ferus;Mgr.;53;starosta;001;196
500569;3;Michal;Fodor;Ing.;43;výsluhový dôchodca;001;27
500577;1;Martin;Palka;Mgr.;43;starosta obce;001;786
500585;1;Jana;Kériová;Bc.;33;špecialistka refundácie DPH;001;103
500585;2;Ján;Keseg;;55;údržbár;001;16
500585;3;Jozef;Keseg;;44;starosta obce;136,106;186
500585;4;Ján;Sekereš;;52;údržbár;001;66
500593;1;Zuzanna;Kajabová;;43;nezamestnaná;001;155
500593;2;Milan;Kováč;;54;starosta;132,106,136;192
500607;1;Kristína;Bónová;;52;starostka obce;136;224
500631;1;Mária;Korčoková;Mgr.;52;starostka;001;440
500640;1;Marta;Kneppová;Ing.;59;zamestnankyňa pošty;136,106;220
500640;2;Patrik;Matušík;;44;SZČO;125;350
500658;1;Jozef;Filipčík;Ing.;48;procesný analytik a konzultant;001;233
500658;2;Milan;Garaj;Ing., PhD.;43;starosta;132;457
500658;3;Radoslav;Mikuš;;37;zámočník;001;30
500658;4;Peter;Šlosiar;;49;živnostník;001;67
500666;1;Milan;Korenči;Ing.;50;starosta obce;141;211
500666;2;Dana;Kraváriková;Ing.;54;konateľka;116;12
500674;1;Magdaléna;Bogyová;Mgr.;52;starostka obce;106,136;211
500674;2;Lucia;Kuťková;Mgr.;39;nezamestnaná;001;382
500682;1;Ladislav;Hajdu;Bc.;59;správca budov;001;338
500682;2;Laura;Prešinská;Bc.;35;starostka obce;001;325
500691;1;Ľubica;Poluchová;Ing.;51;starostka obce;001;286
500691;2;Juraj;Sitár;Ing.;54;živnostník;116;27
500704;1;Peter;Korec;;62;elektrotechnik;001;130
500704;2;Mário;Machovec;Mgr.;49;starosta obce;106;472
500704;3;Pavol;Skokan;Ing.;41;manažér odmeňovania;111;324
500712;1;Jozef;Jankovič;Mgr.;50;starosta obce;136;271
500721;1;Tomáš;Kolembus;Mgr.;39;starosta obce;106;247
500739;1;Martin;Boháč;;37;projektový manažér;001;249
500739;2;Marek;Mesároš;Ing.;47;ekonóm;111;571
500739;3;Roman;Urbánik;PaedDr.;58;starosta obce;136,106,132;954
500747;1;Peter;Bača;Ing.;36;vedúci nástrojárne;001;277
500747;2;Jozef;Magát;Ing.;53;starosta;106,136,135;526
500747;3;Pavol;Studený;;38;referent;001;35
500755;1;Ján;Határ;Ing.;51;starosta;106;258
500755;2;Tomáš;Turček;Mgr.;37;SZČO;001;190
500780;1;Marek;Peňaško;PaedDr.;30;starosta obce;001;243
500798;1;Karol;Odráška;;35;dobrovoľne nezamestnaný;001;101
500798;2;Gabriela;Šplehová;;58;starostka obce;106,136;73
500810;1;Stanislav;Babocký;Ing.;36;technik kvality;001;416
500810;2;Martin;Fintor;;40;podnikateľ;125;2
500810;3;Marián;Horvát;Ing.;48;výsluhový dôchodca;001;86
500810;4;Ernest;Solčiansky;;55;obchodný zástupca;001;25
500810;5;Štefan;Valkovič;Ing.;42;starosta obce;106;370
500828;1;Juraj;Mesko;;56;starosta obce;136;795
500828;2;Karel;Poštulka;;51;živnostník;001;361
500836;1;Štefan;Eliaš;Ing.;41;vedúci pracovník;106;301
500836;2;Ľubomír;Gahír;Ing.;62;starosta;136,132;220
500836;3;Janette;Krajčiová;Mgr.;51;samostatne zárobkovo činná osoba;104;20
500844;1;Vladislav;Borík;Ing., PhD.;52;ekonóm;106,136,132;277
500844;2;Vladimír;Tulipán;;67;starosta;001;96
500887;1;Milan;Bíro;;59;starosta obce;136,106;1019
500887;2;Ján;Murín;Ing.;61;konateľ spoločnosti;111;838
500895;1;Roman;Kiác;;43;živnostník;001;480
500895;2;František;Mészáros;Ing.;60;starosta;001;418
500909;1;Štefan;Mladý;;61;starosta obce;136;133
500909;2;Helena;Šabíková;;61;samostatná odborná referentka-špecialistka;001;118
500917;1;Ján;Hlinka;;41;obchodný zástupca;116;136
500917;2;Vladimír;Skalnický;;35;finančný poradca;140;39
500917;3;Peter;Straňák;;47;starosta obce;001;773
500925;1;Tomáš;Kozolka;Ing.;36;projektový manažér;001;391
500933;1;Mário;Jamrich;Bc.;29;konateľ;142;196
500933;2;Viktor;Németh;Mgr.;29;zamestnanec verejnej správy;148;1720
500933;3;Ernest;Taldík;;41;nezamestnaný;001;23
500933;4;Tibor;Tóth;Ing.;65;primátor mesta;001;1459
500941;1;Marián;Buday;Ing.;57;dôchodca;120;135
500941;2;Jozef;Holúbek;Ing.;55;starosta obce;001;720
500950;1;Ivan;Habiňák;Ing.;53;samostatný referent;132;347
500950;2;Adam;Žákovič;Ing.;32;starosta;001;669
500968;1;Marta;Balážová;MVDr.;57;veterinárna lekárka;111,146,103,139,152,120,118;714
500968;2;Roman;Geiszler;Ing.;54;SZČO;001;255
500968;3;Marian;Grznár;Bc.;44;ústredný dispečer;135;554
500968;4;Dušan;Husár;PaedDr.;64;primátor;136,106,132;1961
500976;1;Martin;Zeman;Ing.;38;starosta obce;136,106;109
500984;1;Jozef;Broniš;Ing.;53;starosta obce;106;106
500984;2;Zuzana;Dubajová;Ing.;49;výsluhová dôchodkyňa;001;174
500992;1;Imrich;Nagy;Mgr.;43;obchodný zástupca;001;555
500992;2;Jozef;Zsebi;Ing.;62;starosta;001;166
501018;1;Jakub;Džatko;Ing.;27;projektový inžinier;001;91
501018;2;Stanislav;Strieška;MVDr.;53;starosta;106;152
501018;3;Peter;Valkovič;;42;samostatne hospodáriaci roľník;127;1
501026;1;Ildikó;Bauer;Mgr.;34;kultúrna manažérka;145;1031
501026;2;Peter;Bodoki;;49;obchodný manažér;106;484
501026;3;Róbert;Dobi;Ing.;58;vedúci pracovník samosprávy;001;55
501026;4;Tímea;Etheykatz;;49;novinárka;001;836
501026;5;Béla;Keszegh;Mgr.;46;primátor mesta;001;7121
501034;1;František;Bachorec;Ing.;37;učiteľ;145;396
501034;2;Kristián;Jurčík;Bc.;43;vedúci dopravy;001;146
501034;3;Miroslav;Márton;;32;profesionálny vodič;001;18
501042;1;Zuzana;Fitosová;;61;starostka;145;88
501069;1;Štefan;Szukola;;44;administratívny pracovník;001;67
501069;2;Peter;Tóth;;51;starosta;145;227
501077;1;Ján;Karkó;Ing.;62;starosta ;001;412
501085;1;Roman;Berecz;;37;konateľ;001;66
501085;2;Patrik;Lehocký;;31;podnikateľ;001;38
501085;3;Zoltán;Molnár;;53;starosta;145;500
501093;1;Károly;Bödők;Mgr.;49;manažér;001;292
501093;2;Andrea;Németh;Mgr.;39;samostatná odborná referentka;001;392
501107;1;Marián;Báňás;;48;živnostník;001;39
501107;2;Gabriela;Gönczölová;JUDr., Ing.;50;starostka obce;001;172
501115;1;Tibor;Hamran;;59;podnikateľ;001;797
501115;2;Jozef;Jobbágy;Ing.;70;starosta obce, poslanec samosprávneho kraja;001;631
501123;1;Štefan;Caletka;;62;dôchodca;106;344
501123;2;Miloš;Vicena;Ing.;55;bez pracovného pomeru;001;448
501140;1;Ildikó;Basternák;Mgr.;60;farmaceutka;145;655
501140;2;Ildikó;Kečkéš;;56;konateľka firmy;001;67
501140;3;Ctibor;Melich;;41;štátny zamestnanec;128;276
501140;4;Štefan;Pupák;Mgr.;36;obchodný manažér;001;662
501140;5;Peter;Závodský;Mgr.;53;primátor mesta;001;771
501158;1;František;Magyari;Ing.;51;starosta;145;431
501166;1;Ján;Justyák;JUDr.;52;výsluhový dôchodca;145;204
501166;2;Jozef;Kováč;Mgr.;55;bezpečnostný analytik;001;85
501166;3;Miroslav;Pastorek;;53;obecný policajt;001;52
501166;4;Marek;Petrík;;46;technik;001;201
501166;5;František;Tyukos;Ing.;73;starosta;001;386
501174;1;Jozef;Alföldy;;48;geodet;001;289
501174;2;István;Domin;Ing.;44;starosta;145;491
501174;3;Štefan;Vass;Ing.;62;konateľ;128;22
501182;1;Marián;Ambroš;Ing.;40;konzultant;001;28
501182;2;Milan;Lehocký;Ing.;55;živnostník;001;78
501182;3;Dezider;Pataki;;61;starosta;145;750
501191;1;Rozália;Szalay;Ing.;63;stavebná inžinierka;145;114
501204;1;Béla;Halász;Ing.;45;podnikateľ;001;1548
501204;2;Árpád;Horváth;;59;primátor;145;1437
501204;3;Ernő;Kárpáty;Ing.;34;projektový manažér, poslanec mestského zastupiteľstva;001;781
501212;1;Gabriel;Duka;Ing.;58;starosta;001;189
501212;2;František;Horváth;;37;lodník;001;31
501212;3;Tibor;Tóth;;63;elektrotechnik;145;93
501221;1;Dáša;Kovácsová;;40;starostka;001;63
501239;1;Ervin;Varga;;58;starosta;145;561
501247;1;Zuzana;Csongrádová Marxová;;32;predajkyňa;001;16
501247;2;Tibor;Jóba;Ing.;36;SZČO;001;65
501247;3;Gabriel;Keszeg;;53;súkromný podnikateľ;145;95
501247;4;István;Keszeg;Ing.;63;starosta obce;001;209
501255;1;Pál;Banai Tóth;Ing., PhD.;47;prednosta;145;339
501255;2;František;Szalay;;51;živnostník;001;42
501255;3;Eszter;Tóth;Ing.;58;projektová manažérka;001;297
501263;1;Štefan;Édes;;57;starosta obce;001;279
501271;1;Ľubomír;Maťko;Ing.;60;zamestnanec vo verejnej správe;001;47
501271;2;Katarína;Petrášová;;40;asistentka;106;10
501280;1;Zoltán;Molnár;;61;primátor;145;1616
501280;2;Zoltán;Oslanec;Ing.;39;projektový manažér;001;293
501301;1;Monika;Csernyánszka;;53;mzdová a personálna referentka;145;369
501301;2;Ján;Csicsó;Ing.;50;výsluhový dôchodca;001;31
501301;3;Iveta;Feketeová;Ing.;60;starostka;001;281
501310;1;Zoltán;Hornyák;;64;dôchodca;001;51
501310;2;Csaba;Pém;;39;živnostník;001;62
501310;3;Rozália;Tóthová;Mgr.;49;starostka;145;171
501328;1;Rudolf;Héger;Mgr.;57;poradca starostu;001;788
501328;2;Jozef;Koša;;76;dôchodca;001;42
501328;3;Zoltán;Nagy;;52;súkromný podnikateľ;001;8
501328;4;Zsolt;Vantara;;49;traktorista;001;16
501328;5;Norbert;Zsitva;;55;starosta;145;511
501336;1;Ľubomír;Púchovský;Mgr.;53;starosta obce;001;224
501336;2;Markéta;Vojtová;Ing.;40;marketingová koordinátorka;001;216
501344;1;František;Mayer;Ing.;39;starosta obce;001;339
501352;1;Ján;Cabadaj;Ing.;52;kontrolór;001;131
501352;2;Miroslav;Gažo;;49;vrchová manipulácia-sekač podšívok;001;20
501352;3;Ján;Šušoliak;Mgr.;37;manažér zákazníckeho servisu;111;161
501361;1;Imrich;Bugár;;54;starosta obce;001;216
501361;2;Tomáš;Vendégh;;53;podnikateľ;114;116
501379;1;Karol;Farkas;;47;starosta;145;106
501387;1;Lajos;Csóka;Ing.;58;starosta;145;376
501395;1;Attila;Bálint;Ing.;43;štátny zamestnanec;001;399
501395;2;Roland;Labancz;Mgr.;47;starosta obce;145;950
501409;1;Peter;Ilčík;;46;starosta;001;166
501417;1;Mária;Rabinová;;49;podnikateľka;001;56
501417;2;Zoltán;Szalay;;61;agronóm;001;76
501417;3;Ivan;Válek;;44;starosta obce;001;794
501425;1;Anikó;Kuruczová;Mgr.;52;správkyňa;001;395
501425;2;Eva;Varjúová;Ing.;55;stavebná inžinierka;145;568
501433;1;Zoltán;Hájos;JUDr.;55;primátor;145;3018
501433;2;Roland;Hakszer;;50;poslanec mestského zastupiteľstva, viceprezident národného športového zväzu;001;228
501433;3;Zoltán;Horváth;MUDr.;59;lekár;001;1269
501433;4;Tibor;Iró;Ing.;56;riaditeľ úradu práce, sociálnych vecí a rodiny;135;89
501433;5;Tomáš;Stredl;Bc.;42;ochranár prírody;001;539
501433;6;Erika;Szelle;Ing.;53;stavebná inžinierka;001;1399
501441;1;Ildikó;Duduczová;;55;príslušníčka finančnej správy;001;171
501441;2;Helena;Vonyiková;Mgr.;66;starostka;145;168
501450;1;Juraj;Bertalan;Ing.;44;starosta;145;415
501450;2;Juraj;Csomor;;57;podnikateľ-elektrotechnik;001;284
501468;1;Gábor;Németh;;32;skladník;001;15
501468;2;Kristián;Tovaryš;JUDr.;40;štátny zamestnanec;001;227
501468;3;Zsolt;Wunderlich;;50;štátny zamestnanec;001;175
501484;1;Alfréd;Kuczman;Mgr.;58;starosta obce;001;120
501492;1;Soňa;Csibová;;54;matrikárka;106;265
501492;2;Terézia;Földváry;Mgr.;54;starostka;145;269
501506;1;Ferenc;Bögi;Mgr.;51;informatik, obchodný zástupca;145;103
501506;2;Monika;Kosár;Bc.;33;ekonómka;001;22
501506;3;Hajnalka;Kossárová;;46;cukrárka;001;10
501506;4;Roland;Végh;Bc.;49;mechanizátor;001;87
501514;1;Lívia;Bugárová;;53;starostka obce;145;209
501522;1;Alexander;Egrecký;PhDr.;48;náčelník mestskej polície;001;4
501522;2;Gergő;Holényi;;37;primátor;001;614
501522;3;Zalán;Kórósi;Mgr.;54;operatívny manažér;001;694
501522;4;Samuel;Lojkovič;JUDr.;68;právnik;001;840
501522;5;Marian;Soóky;PaedDr.;43;riaditeľ;001;1212
501522;6;Juraj;Vajai;Ing.;47;konateľ spoločnosti;143;50
501531;1;Erzsébet;Janík;;60;starostka;001;351
501549;1;Jozef;Boráros;;58;starosta;001;171
501549;2;Anikó;Juhosová;;56;matrikárka;001;126
501549;3;Kristián;Kiss;;38;manažér;136;10
501557;1;Oskár;Bereczk;Ing.;66;starosta;106,136,145;334
501557;2;Peter;Cseh;;39;poradca;001;129
501573;1;Nikolas;Dömény;Ing.,;43;podnikateľ;001;247
501573;2;Iván;Fenes;PhDr.;55;primátor mesta;145;1852
501573;3;Zoltán;Jakus;;37;podnikateľ;001;479
501581;1;Ľudovít;Iván;Ing.;56;starosta;001;727
501581;2;Zoltán;Zirig;Ing.;56;podnikateľ;145;306
501590;1;Marián;Jargaš;Ing.;43;krízový manažér;001;75
501590;2;Silvia;Pápay;Mgr.;47;pedagogička;145;290
501590;3;Peter;Prokopovič;Ing.;42;projektový manažér;001;140
501590;4;Tivadar;Sidó;Bc.;59;starosta;001;630
501603;1;Štefan;Bodó;;61;starosta;145;314
501611;1;Tomáš;Horváth;;42;starosta;145;506
501620;1;Jozef;Hanic;;58;vedúci oddelenia objektov údržby a prevádzky objektov;001;173
501620;2;Mária;Horváthová;;52;starostka;001;201
501638;1;Jana;Krajmer;;54;ekonómka;106;43
501638;2;Marek;Lackovič;MBA;33;starosta;124,128;643
501638;3;Dušan;Slovák;;39;pracovník skladu;102;87
501654;1;Jarmila;Ribánszký;Ing.;57;starostka;001;675
501654;2;Robert;Tánczos;Ing.;47;riaditeľ vnútornej kontroly;128,114;97
501662;1;Lajos;Berner;;59;starosta;145;284
501662;2;Blažej;Klúcsik;Ing.,Bc.;39;manažér;001;74
501662;3;Tomáš;Razgyel;Mgr.,;29;referent zahr.obchodu;001;181
501671;1;Gabriel;Fekete;;33;starosta;145;186
501671;2;Juraj;Morvay;Ing.;54;ekonóm, podnikateľ;001;124
501689;1;Csaba;Bognár;;56;starosta;145;130
501689;2;Tibor;Both;;59;majster;137;108
501697;1;Peter;Mórocz;Ing.;39;projektový manažér;145;457
501701;1;Zoltán;Wurczell;;60;starosta obce;145;351
501719;1;František;Bokros;JUDr.;60;starosta obce;001;405
501719;2;Simona;Dvořáková;Mgr.;43;právnička;001;28
501719;3;Norbert;Valkai;Ing.;49;produktový manažér;001;369
501727;1;Katarína;Bitarovská;Mgr.;44;štátna zamestnankyňa;154;13
501727;2;Soňa;Franková;Ing.;43;štátna radkyňa;001;371
501727;3;Zoltán;Sojka;;60;starosta;001;316
501735;1;František;Szitási;JUDr., Ing.;55;starosta;001;786
501743;1;Priska;Ábrahámová;;55;zdravotná sestra;001;219
501743;2;Ladislav;Kiss;Mgr.;54;starosta;145;242
501760;1;Ladislav;Kulacs;Ing.;56;starosta;145;268
501778;1;Andrea;Farkaš;Mgr.;37;administratívna pracovníčka;001;57
501778;2;Katarína;Janikovicsová;;48;starostka;145;185
501786;1;Július;Borbély;Mgr.;50;starosta;001;279
501786;2;Tomáš;Simon;;45;hodinár;145;153
501808;1;Gabriel;Farkas;Mgr.;45;obchodný riaditeľ;001;262
501808;2;Ladislav;Kiss;;55;montážnik;001;134
501808;3;Linda;Lőrinczi Jáger;Mgr.;36;manažérka;001;265
501808;4;Alžbeta;Mészárosová;Mgr.;56;asistentka starostu;145;274
501808;5;Adrián;Németh;;26;skladník;001;22
501816;1;Tünde;Gaálová;;46;samostatne zárobkovo činná osoba;001;298
501816;2;Anikó;Rabay;Ing.;38;starostka - ekonómka;001;503
501816;3;Robert;Szűcs;;53;administratívny pracovník - logistik;001;7
501824;1;Ladislav;Polák;Ing.;52;strojný inžinier;145;1089
501832;1;Ildikó;Gyurcsiová;;44;starostka;001;192
501859;1;Szilárd;Gálffy;Ing.;53;starosta obce;001;430
501867;1;Zoltán;Szabó;;56;starosta;145;183
501875;1;František;Miklós;Ing.;39;starosta;145;210
501883;1;Ernest;Takács;Mgr.;45;starosta;145;231
501891;1;Zoltán;László;;37;starosta obce;001;303
501905;1;Jozef;Bednár;PhDr., PhD.;50;námestník generálneho riaditeľa;001;1225
501905;2;Csaba;Orosz;;51;primátor;145;3174
501905;3;František;Sztruhár;Ing.;45;manažér;114,111,128,118;367
501913;1;Péter;Őry;Mgr.;50;starosta;145;434
501921;1;László;Bacsó;Bc.;48;starosta obce;145;902
501930;1;Jozef;Lukács;;41;starosta;145;314
501956;1;Attila;Horváth;;36;starosta obce;145;128
501956;2;Juraj;Lami;Mgr.;51;bezpečnostný poradca;114;131
501964;1;Zuzana;Bónová;Mgr.;56;starostka;001;216
501964;2;Tamás;Pongrácz;;32;technický špecialista;001;162
501972;1;Ivan;Seňan;Bc.;40;starosta obce;001;390
501981;1;Júlia;Gányovicsová;;60;starostka;001;587
501981;2;Rudolf;Matejčík;Ing.;61;inžinier dopravných stavieb;136,106;168
501999;1;Donald;Álló;Ing.;46;agroinžinier;001;142
501999;2;Tímea;Farkas;Mgr.;42;SZČO;001;12
501999;3;Gabriel;Oross;;49;technik-špecialista;141;115
502006;1;Štefan;Fazekas;PaedDr.;50;starosta;001;782
502014;1;Ladislav;Balódi;Mgr.;51;starosta obce;145;632
502014;2;Juraj;Pohár;Mgr.;39;podnikateľ;119;114
502022;1;Peter;Balla;Mgr.;38;vyšetrovateľ;001;628
502022;2;Imrich;Rigo;;59;kurič a údržbár;116;65
502022;3;Marek;Rigo;;38;starosta;136;1239
502022;4;Ernest;Šípoš;;52;vedúci príjmu a kontroly;138;18
502031;1;Eva;Bielik Hajdamárová;JUDr.;37;prednostka okresného úradu;119;479
502031;2;Igor;Éder;PaedDr.;46;podpredseda samosprávneho kraja;106,135,104;656
502031;3;Ján;Krtík;RNDr.;60;primátor;001;2965
502031;4;Igor;Kúdela;Mgr.;55;manažér;153;205
502031;5;Ervín;Szalma;Mgr.;43;učiteľ;001;2333
502031;6;Petra;Števková;Mgr.;34;žurnalistka, hlavná štátna radkyňa;148;2201
502049;1;Zoltán;Németh;;60;nezamestnaný;001;21
502049;2;Alojz;Štrba;Ing.;62;starosta obce;106;122
502057;1;Peter;Burčo;Ing.;35;starosta obce;106;350
502065;1;Miroslav;Černák;;56;starosta;145;260
502065;2;Gabriela;Kosárová;Ing.;37;ekonómka;001;74
502073;1;Valéria;Gregušová;;58;invalidná dôchodkyňa;106;59
502073;2;János;Tenczel;;35;vedúci skupiny;145;108
502090;1;Štefan;Mirják;;36;starosta obce;001;169
502090;2;Alexander;Török;;57;zámočník;119;43
502103;1;Danuše;Francisciová;;68;starostka obce;106;120
502111;1;Jozef;Polc;;46;školník;001;177
502111;2;Miloš;Seneši;;49;starosta obce;001;350
502120;1;Peter;Blaškovič;Mgr.;50;učiteľ;106;90
502120;2;Ľudovit;Viglaš;;53;starosta;132;189
502154;1;Attila;Kürthy;Ing.;56;starosta;128,145;164
502154;2;Eugen;Nagy;Ing.;55;podnikateľ;106;133
502154;3;Danica;Rybošová;;53;výsluhová dôchodkyňa;001;155
502162;1;Dana;Lančaričová;Ing.;56;starostka;132;159
502162;2;Monika;Slížiková;Mgr.;48;projektová manažérka;001;79
502171;1;Zdenka;Furdová;;50;starostka;001;141
502189;1;Vendelín;Baláž;;53;manažér;001;108
502189;2;Silvia;Ballová;Mgr.;45;administratívna pracovníčka;145;81
502189;3;Milan;Rafael;;41;starosta;106;140
502197;1;Róbert;Potocký;Bc.;60;starosta obce;136,132;291
502197;2;Martina;Soboňová;;27;pracovníčka výroby;001;75
502219;1;Slavomír;Baláž;Ing.;47;starosta;001;153
502219;2;Vladimír;Hebert;Ing.;58;výsluhový dôchodca;001;51
502227;1;Vlasta;Csomorová;;60;starostka;145;359
502227;2;Gábor;Kabók;;38;SZČO;001;127
502227;3;Bálint;Lauko;;44;inštalatér;001;94
502243;1;Peter;Felyo;;43;súkromný podnikateľ;145;70
502243;2;Štefan;Mikloško;Mgr.;70;dôchodca;109;7
502243;3;Tibor;Stehlík;;56;zástupca starostu;001;197
502251;1;Martin;Hangody;;41;dielenský majster;135;10
502251;2;Ondrej;Labant;;44;elektromechanik;001;171
502251;3;Erik;Pastierovič;Mgr.;30;obchodný zástupca;124;72
502251;4;Zuzana;Števková;;46;živnostníčka;140;47
502260;1;Patrik;Grós;;39;podnikateľ;135;6
502260;2;Jozef;Kalman;;33;šéfkuchár;001;95
502260;3;Marcel;Nagy;;41;profesionálny vojak;001;114
502260;4;Gabriel;Végh;Ing.;57;špecialista;001;143
502278;1;Ildikó;Jamborová;;46;vedúca pošty;106;181
502278;2;Tomáš;Pásztor;Mgr.;44;starosta;001;161
502286;1;Kristián;Kurcz;;37;živnostník;145;29
502286;2;Štefan;Páterka;;68;dôchodca;001;4
502286;3;Peter;Varga;;48;starosta obce;001;249
502294;1;Ľudovít;Húdik;;62;starosta obce;132;84
502294;2;Matej;Kuba;;30;živnostník;001;6
